Federal Individual Income Tax Rates History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Married Filing Jointly,,,,,,,,,,,,,,Married Filing Separately,,,,,,,,,,,,,,Single Filer,,,,,,,,,,,,,,Head of Household,,,,,,,,,,,,,
,Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X)
2021,10%,$0.00,12%,"$19,900.00",22%,"$81,050.00",24%,"$172,750.00",32%," $329,850.00 ",35%," $418,850.00 ",37%," $628,301.00 ",10%,$0.00,12%,"$9,950.00",22%,"$40,525.00",24%,"$86,375.00",32%," $164,925.00 ",35%," $209,425.00 ",37%," $314,150.50 ",10%,$0.00,12%,"$9,950.00",22%,"$40,525.00",24%,"$86,375.00",32%," $164,925.00 ",35%," $209,425.00 ",37%," $523,600.00 ",10%,$0.00,12%,"$14,200.00",22%,"$54,200.00",24%,"$86,350.00",32%," $164,900.00 ",35%," $209,400.00 ",37%," $523,600.00 "
2020,10%,$0.00,12%,"$19,750.00",22%,"$80,250.00",24%,"$171,050.00",32%," $326,600.00 ",35%," $414,700.00 ",37%," $622,050.00 ",10%,$0.00,12%,"$9,875.00",22%,"$40,125.00",24%,"$85,525.00",32%," $163,300.00 ",35%," $207,350.00 ",37%," $311,025.00 ",10%,$0.00,12%,"$9,875.00",22%,"$40,125.00",24%,"$85,525.00",32%," $163,300.00 ",35%," $207,350.00 ",37%," $518,400.00 ",10%,$0.00,12%,"$14,100.00",22%,"$53,700.00",24%,"$85,500.00",32%," $163,300.00 ",35%," $207,350.00 ",37%," $518,400.00 "
2019,10%,$0.00,12%,"$19,400.00",22%,"$78,950.00",24%,"$168,400.00",32%," $321,450.00 ",35%," $408,200.00 ",37%," $612,350.00 ",10%,$0.00,12%,"$9,700.00",22%,"$39,475.00",24%,"$84,200.00",32%," $160,725.00 ",35%," $204,100.00 ",37%," $306,175.00 ",10%,$0.00,12%,"$9,700.00",22%,"$39,475.00",24%,"$84,200.00",32%," $160,725.00 ",35%," $204,100.00 ",37%," $510,300.00 ",10%,$0.00,12%,"$9,700.00",22%,"$52,850.00",24%,"$84,200.00",32%," $160,700.00 ",35%," $204,100.00 ",37%," $510,300.00 "
2018,10%,$0.00,12%,"$19,050.00",22%,"$77,400.00",24%,"$165,000.00",32%," $315,000.00 ",35%," $400,000.00 ",37%," $600,000.00 ",10%,$0.00,12%,"$9,525.00",22%,"$38,700.00",24%,"$82,500.00",32%," $157,500.00 ",35%," $200,000.00 ",37%," $300,000.00 ",10%,$0.00,12%,"$9,525.00",22%,"$38,700.00",24%,"$82,500.00",32%," $157,500.00 ",35%," $200,000.00 ",37%," $500,000.00 ",10%,$0.00,12%,"$13,600.00",22%,"$51,800.00",24%,"$82,500.00",32%," $157,500.00 ",35%," $200,000.00 ",37%," $500,000.00 "
2017,10%,$0.00,15%,"$18,650.00",25%,"$75,900.00",28%,"$153,100.00",33%," $233,350.00 ",35%," $416,700.00 ",39.6%," $470,700.00 ",10%,$0.00,15%,"$9,325.00",25%,"$37,950.00",28%,"$76,550.00",33%," $116,675.00 ",35%," $208,350.00 ",39.6%," $235,350.00 ",10%,$0.00,15%,"$9,325.00",25%,"$37,950.00",28%,"$91,900.00",33%," $191,650.00 ",35%," $416,700.00 ",39.6%," $418,400.00 ",10%,$0.00,15%,"$13,350.00",25%,"$50,800.00",28%,"$131,200.00",33%," $212,500.00 ",35%," $416,700.00 ",39.6%," $444,550.00 "
2016,10%,$0.00,15%,"$18,550.00",25%,"$75,300.00",28%,"$151,900.00",33%," $231,450.00 ",35%," $413,350.00 ",39.6%," $466,950.00 ",10%,$0.00,15%,"$9,275.00",25%,"$37,650.00",28%,"$75,950.00",33%," $115,725.00 ",35%," $206,675.00 ",39.6%," $233,475.00 ",10%,$0.00,15%,"$9,275.00",25%,"$37,650.00",28%,"$91,150.00",33%," $190,150.00 ",35%," $413,450.00 ",39.6%," $415,050.00 ",10%,$0.00,15%,"$13,250.00",25%,"$50,400.00",28%,"$130,150.00",33%," $210,800.00 ",35%," $413,350.00 ",39.6%," $441,000.00 "
2015,10%,$0.00,15%,"$18,451.00",25%,"$74,901.00",28%,"$151,201.00",33%," $230,451.00 ",35%," $411,501.00 ",39.6%," $464,851.00 ",10%,$0.00,15%,"$9,225.50",25%,"$37,450.50",28%,"$75,600.50",33%," $115,225.50 ",35%," $205,750.50 ",39.6%," $232,425.50 ",10%,$0.00,15%,"$9,226.00",25%,"$37,451.00",28%,"$90,751.00",33%," $189,301.00 ",35%," $411,501.00 ",39.6%," $413,201.00 ",10%,$0.00,15%,"$13,151.00",25%,"$50,201.00",28%,"$129,601.00",33%," $209,851.00 ",35%," $411,501.00 ",39.6%," $439,001.00 "
2014,10%,$0.00,15%,"$18,151.00",25%,"$73,801.00",28%,"$148,851.00",33%," $226,851.00 ",35%," $405,101.00 ",39.6%," $457,601.00 ",10%,$0.00,15%,"$9,075.50",25%,"$36,900.50",28%,"$74,425.50",33%," $113,425.50 ",35%," $202,550.50 ",39.6%," $228,800.50 ",10%,$0.00,15%,"$9,076.00",25%,"$36,901.00",28%,"$89,351.00",33%," $186,351.00 ",35%," $405,101.00 ",39.6%," $406,751.00 ",10%,$0.00,15%,"$12,951.00",25%,"$49,401.00",28%,"$127,551.00",33%," $206,601.00 ",35%," $405,101.00 ",39.6%," $432,201.00 "
2013,10%,$0.00,15%,"$17,850.00",25%,"$72,500.00",28%,"$146,400.00",33%," $223,050.00 ",35%," $398,350.00 ",39.6%," $450,000.00 ",10%,$0.00,15%,"$8,925.00",25%,"$36,250.00",28%,"$73,200.00",33%," $111,525.00 ",35%," $199,175.00 ",39.6%," $225,000.00 ",10%,$0.00,15%,"$8,925.00",25%,"$36,250.00",28%,"$87,850.00",33%," $183,250.00 ",35%," $398,350.00 ",39.6%," $400,000.00 ",10%,$0.00,15%,"$12,750.00",25%,"$48,600.00",28%,"$125,450.00",33%," $203,150.00 ",35%," $398,350.00 ",39.6%," $425,000.00 "
2012,10%,$0.00,15%,"$17,400.00",25%,"$69,000.00",28%,"$142,700.00",33%," $217,450.00 ",35%," $388,350.00 ",,,10%,$0.00,15%,"$8,700.00",25%,"$34,500.00",28%,"$71,350.00",33%," $108,725.00 ",35%," $194,175.00 ",,,10%,$0.00,15%,"$8,700.00",25%,"$35,350.00",28%,"$85,650.00",33%," $178,650.00 ",35%," $388,350.00 ",,,10%,$0.00,15%,"$12,400.00",25%,"$47,350.00",28%,"$122,300.00",33%," $198,050.00 ",35%," $388,350.00 ",,
2011,10%,$0.00,15%,"$17,000.00",25%,"$68,000.00",28%,"$139,350.00",33%," $212,300.00 ",35%," $379,150.00 ",,,10%,$0.00,15%,"$8,500.00",25%,"$34,000.00",28%,"$69,675.00",33%," $106,150.00 ",35%," $189,575.00 ",,,10%,$0.00,15%,"$8,500.00",25%,"$34,500.00",28%,"$83,600.00",33%," $174,400.00 ",35%," $379,150.00 ",,,10%,$0.00,15%,"$12,150.00",25%,"$46,250.00",28%,"$119,400.00",33%," $193,350.00 ",35%," $379,150.00 ",,
2010,10%,$0.00,15%,"$16,750.00",25%,"$67,900.00",28%,"$137,300.00",33%," $209,250.00 ",35%," $373,650.00 ",,,10%,$0.00,15%,"$8,375.00",25%,"$33,950.00",28%,"$68,650.00",33%," $104,625.00 ",35%," $186,825.00 ",,,10%,$0.00,15%,"$8,375.00",25%,"$34,000.00",28%,"$82,400.00",33%," $171,850.00 ",35%," $373,650.00 ",,,10%,$0.00,15%,"$11,950.00",25%,"$45,550.00",28%,"$117,650.00",33%," $190,550.00 ",35%," $373,650.00 ",,
2009,10%,$0.00,15%,"$16,700.00",25%,"$67,900.00",28%,"$137,050.00",33%," $208,850.00 ",35%," $372,950.00 ",,,10%,$0.00,15%,"$8,350.00",25%,"$33,950.00",28%,"$68,525.00",33%," $104,425.00 ",35%," $186,475.00 ",,,10%,$0.00,15%,"$8,350.00",25%,"$33,950.00",28%,"$82,250.00",33%," $171,550.00 ",35%," $372,950.00 ",,,10%,$0.00,15%,"$11,950.00",25%,"$45,500.00",28%,"$117,450.00",33%," $190,200.00 ",35%," $372,950.00 ",,
2008,10%,$0.00,15%,"$16,050.00",25%,"$65,100.00",28%,"$131,450.00",33%," $200,300.00 ",35%," $357,700.00 ",,,10%,$0.00,15%,"$8,025.00",25%,"$32,550.00",28%,"$65,725.00",33%," $100,150.00 ",35%," $178,850.00 ",,,10%,$0.00,15%,"$8,025.00",25%,"$32,550.00",28%,"$78,850.00",33%," $164,550.00 ",35%," $357,700.00 ",,,10%,$0.00,15%,"$11,450.00",25%,"$43,650.00",28%,"$112,650.00",33%," $182,400.00 ",35%," $357,700.00 ",,
2007,10%,$0.00,15%,"$15,650.00",25%,"$63,700.00",28%,"$128,500.00",33%," $195,850.00 ",35%," $349,700.00 ",,,10%,$0.00,15%,"$7,825.00",25%,"$31,850.00",28%,"$64,250.00",33%," $97,925.00 ",35%," $174,850.00 ",,,10%,$0.00,15%,"$7,825.00",25%,"$31,850.00",28%,"$77,100.00",33%," $160,850.00 ",35%," $349,700.00 ",,,10%,$0.00,15%,"$11,200.00",25%,"$42,650.00",28%,"$110,100.00",33%," $178,350.00 ",35%," $349,700.00 ",,
2006,10%,$0.00,15%,"$15,100.00",25%,"$61,300.00",28%,"$123,700.00",33%," $188,450.00 ",35%," $336,550.00 ",,,10%,$0.00,15%,"$7,550.00",25%,"$30,650.00",28%,"$61,850.00",33%," $94,225.00 ",35%," $168,275.00 ",,,10%,$0.00,15%,"$7,550.00",25%,"$30,650.00",28%,"$74,200.00",33%," $154,800.00 ",35%," $336,550.00 ",,,10%,$0.00,15%,"$10,750.00",25%,"$41,050.00",28%,"$106,000.00",33%," $171,650.00 ",35%," $336,550.00 ",,
2005,10%,$0.00,15%,"$14,600.00",25%,"$59,400.00",28%,"$119,950.00",33%," $182,800.00 ",35%," $326,450.00 ",,,10%,$0.00,15%,"$7,300.00",25%,"$29,700.00",28%,"$59,975.00",33%," $91,400.00 ",35%," $163,225.00 ",,,10%,$0.00,15%,"$7,300.00",25%,"$29,700.00",28%,"$71,950.00",33%," $150,150.00 ",35%," $326,450.00 ",,,10%,$0.00,15%,"$10,450.00",25%,"$39,800.00",28%,"$102,800.00",33%," $166,450.00 ",35%," $326,450.00 ",,
2004,10%,$0.00,15%,"$14,300.00",25%,"$58,100.00",28%,"$117,250.00",33%," $178,650.00 ",35%," $319,100.00 ",,,10%,$0.00,15%,"$7,150.00",25%,"$29,050.00",28%,"$58,625.00",33%," $89,325.00 ",35%," $159,550.00 ",,,10%,$0.00,15%,"$7,150.00",25%,"$29,050.00",28%,"$70,350.00",33%," $146,750.00 ",35%," $319,100.00 ",,,10%,$0.00,15%,"$10,200.00",25%,"$38,900.00",28%,"$100,500.00",33%," $162,700.00 ",35%," $319,500.00 ",,
2003,10%,$0.00,15%,"$14,000.00",25%,"$56,800.00",28%,"$114,650.00",33%," $174,700.00 ",35%," $311,950.00 ",,,10%,$0.00,15%,"$7,000.00",25%,"$28,400.00",28%,"$57,325.00",33%," $87,350.00 ",35%," $155,975.00 ",,,10%,$0.00,15%,"$7,000.00",25%,"$28,400.00",28%,"$68,800.00",33%," $143,500.00 ",35%," $311,950.00 ",,,10%,$0.00,15%,"$10,000.00",25%,"$38,050.00",28%,"$98,250.00",33%," $159,100.00 ",35%," $311,950.00 ",,
2002,10%,$0.00,15%,"$12,000.00",27%,"$46,700.00",30%,"$112,850.00",35%," $171,950.00 ",38.6%," $307,050.00 ",,,10%,$0.00,15%,"$6,000.00",27%,"$23,350.00",30%,"$56,425.00",35%," $85,975.00 ",38.6%," $153,525.00 ",,,10%,$0.00,15%,"$6,000.00",27%,"$27,950.00",30%,"$67,700.00",35%," $141,250.00 ",38.6%," $307,050.00 ",,,10%,$0.00,15%,"$10,000.00",27%,"$37,450.00",30%,"$96,700.00",35%," $156,600.00 ",38.6%," $307,050.00 ",,
2001,15%,$0.00,27.5%,"$45,200.00",30.5%,"$109,250.00",35.5%,"$166,500.00",39.1%,,,,,,15%,$0.00,27.5%,"$22,600.00",30.5%,"$54,625.00",35.5%,"$83,250.00",39.1%,,,,,,15%,$0.00,27.5%,"$27,050.00",30.5%,"$65,550.00",35.5%,"$136,750.00",39.1%,"$297,350.00",,,,,15%,$0.00,27.5%,"$36,250.00",30.5%,"$36,250.00",35.5%,"$93,650.00",39.1%,"$297,350.00",,,,
2000,15%,$0.00,28%,"$43,850.00",31%,"$105,950.00",36%,"$161,450.00",39.6%,,,,,,15%,$0.00,28%,"$21,925.00",31%,"$52,975.00",36%,"$80,725.00",39.6%,,,,,,15%,$0.00,28%,"$26,250.00",31%,"$63,550.00",36%,"$132,600.00",39.6%,"$288,350.00",,,,,15%,$0.00,28%,"$35,150.00",31%,"$90,800.00",36%,"$147,050.00",39.6%,"$288,350.00",,,,
1999,15%,$0.00,28%,"$43,050.00",31%,"$104,050.00",36%,"$158,550.00",39.6%,,,,,,15%,$0.00,28%,"$21,525.00",31%,"$52,025.00",36%,"$79,275.00",39.6%,,,,,,15%,$0.00,28%,"$25,750.00",31%,"$62,450.00",36%,"$130,250.00",39.6%,"$283,150.00",,,,,15%,$0.00,28%,"$34,550.00",31%,"$89,150.00",36%,"$144,400.00",39.6%,"$283,150.00",,,,
1998,15%,$0.00,28%,"$42,350.00",31%,"$102,300.00",36%,"$155,950.00",39.6%,,,,,,15%,$0.00,28%,"$21,175.00",31%,"$51,150.00",36%,"$77,975.00",39.6%,,,,,,15%,$0.00,28%,"$25,350.00",31%,"$61,400.00",36%,"$128,100.00",39.6%,"$278,450.00",,,,,15%,$0.00,28%,"$33,950.00",31%,"$87,700.00",36%,"$142,000.00",39.6%,"$278,450.00",,,,
1997,15%,$0.00,28%,"$41,200.00",31%,"$99,600.00",36%,"$151,750.00",39.6%,,,,,,15%,$0.00,28%,"$20,600.00",31%,"$49,800.00",36%,"$75,875.00",39.6%,,,,,,15%,$0.00,28%,"$24,650.00",31%,"$59,750.00",36%,"$124,650.00",39.6%,"$271,050.00",,,,,15%,$0.00,28%,"$33,050.00",31%,"$85,350.00",36%,"$138,200.00",39.6%,"$271,050.00",,,,
1996,15%,$0.00,28%,"$40,100.00",31%,"$96,900.00",36%,"$147,700.00",39.6%,,,,,,15%,$0.00,28%,"$20,050.00",31%,"$48,450.00",36%,"$73,850.00",39.6%,,,,,,15%,$0.00,28%,"$24,000.00",31%,"$58,150.00",36%,"$121,300.00",39.6%,"$263,750.00",,,,,15%,$0.00,28%,"$32,150.00",31%,"$83,050.00",36%,"$134,500.00",39.6%,"$263,750.00",,,,
1995,15%,$0.00,28%,"$39,000.00",31%,"$94,250.00",36%,"$143,600.00",39.6%,,,,,,15%,$0.00,28%,"$19,500.00",31%,"$47,125.00",36%,"$71,800.00",39.6%,,,,,,15%,$0.00,28%,"$23,350.00",31%,"$56,550.00",36%,"$117,950.00",39.6%,"$256,500.00",,,,,15%,$0.00,28%,"$31,250.00",31%,"$80,750.00",36%,"$130,800.00",39.6%,"$256,500.00",,,,
1994,15%,$0.00,28%,"$38,000.00",31%,"$91,850.00",36%,"$140,000.00",39.6%,,,,,,15%,$0.00,28%,"$19,000.00",31%,"$45,925.00",36%,"$70,000.00",39.6%,,,,,,15%,$0.00,28%,"$22,750.00",31%,"$55,100.00",36%,"$115,000.00",39.6%,"$250,000.00",,,,,15%,$0.00,28%,"$30,500.00",31%,"$78,700.00",36%,"$127,500.00",39.6%,"$250,000.00",,,,
1993,15%,$0.00,28%,"$36,900.00",31%,"$89,150.00",36%,"$140,000.00",39.6%,,,,,,15%,$0.00,28%,"$18,450.00",31%,"$44,575.00",36%,"$70,000.00",39.6%,,,,,,15%,$0.00,28%,"$22,100.00",31%,"$53,500.00",36%,"$115,000.00",39.6%,"$250,000.00",,,,,15%,$0.00,28%,"$29,600.00",31%,"$76,400.00",36%,"$127,500.00",39.6%,"$250,000.00",,,,
1992,15%,$0.00,28%,"$35,800.00",31%,"$86,500.00",,,,,,,,,15%,$0.00,28%,"$17,900.00",31%,"$43,250.00",,,,,,,,,15%,$0.00,28%,"$21,450.00",31%,"$51,900.00",,,,,,,,,15%,$0.00,28%,"$28,750.00",31%,"$74,150.00",,,,,,,,
1991,15%,$0.00,28%,"$34,000.00",31%,"$82,150.00",,,,,,,,,15%,$0.00,28%,"$17,000.00",31%,"$41,075.00",,,,,,,,,15%,$0.00,28%,"$20,350.00",31%,"$49,300.00",,,,,,,,,15%,$0.00,28%,"$27,300.00",31%,"$70,450.00",,,,,,,,
1990,15%,$0.00,28%,"$32,450.00",,,,,,,,,,,15%,$0.00,28%,"$16,225.00",,,,,,,,,,,15%,$0.00,28%,"$19,450.00",,,,,,,,,,,15%,$0.00,28%,"$26,050.00",,,,,,,,,,